"admin3","admin3_name","hdx_pcode"
"19100","BOLIVAR","COL-19100"
"19110","BUENOS AIRES","COL-19110"
"19130","CAJIBIO","COL-19130"
"19137","CALDONO","COL-19137"
"19142","CALOTO","COL-19142"
"19212","CORINTO","COL-19212"
"19256","EL TAMBO","COL-19256"
"19290","FLORENCIA","COL-19290"
"19300","GUACHENE","COL-19300"
"19318","GUAPI","COL-19318"
"19355","INZA","COL-19355"
"19364","JAMBALO","COL-19364"
"19392","LA SIERRA","COL-19392"
"19397","LA VEGA","COL-19397"
"19418","LOPEZ","COL-19418"
"19450","MERCADERES","COL-19450"
"19455","MIRANDA","COL-19455"
"19473","MORALES","COL-19473"
"19513","PADILLA","COL-19513"
"19517","PAEZ","COL-19517"
"19532","PATIA","COL-19532"
"19533","PIAMONTE","COL-19533"
"19548","PIENDAMO","COL-19548"
"19573","PUERTO TEJADA","COL-19573"
"19585","PURACE","COL-19585"
"19622","ROSAS","COL-19622"
"19693","SAN SEBASTIAN","COL-19693"
"19698","SANTANDER DE QUILICHAO","COL-19698"
"19701","SANTA ROSA","COL-19701"
"19743","SILVIA","COL-19743"
"19760","SOTARA","COL-19760"
"19780","SUAREZ","COL-19780"
"19785","SUCRE","COL-19785"
"19807","TIMBIO","COL-19807"
"19809","TIMBIQUI","COL-19809"
"19821","TORIBIO","COL-19821"
"19824","TOTORO","COL-19824"
"19845","VILLA RICA","COL-19845"
"20001","VALLEDUPAR","COL-20001"
"20011","AGUACHICA","COL-20011"
"20013","AGUSTIN CODAZZI","COL-20013"
"20032","ASTREA","COL-20032"
"20045","BECERRIL","COL-20045"
"20060","BOSCONIA","COL-20060"
"20175","CHIMICHAGUA","COL-20175"
"20178","CHIRIGUANA","COL-20178"
"20228","CURUMANI","COL-20228"
"20238","EL COPEY","COL-20238"
"20250","EL PASO","COL-20250"
"20295","GAMARRA","COL-20295"
"20310","GONZALEZ","COL-20310"
"20383","LA GLORIA","COL-20383"
"20400","LA JAGUA DE IBIRICO","COL-20400"
"20443","MANAURE","COL-20443"
"20517","PAILITAS","COL-20517"
"20550","PELAYA","COL-20550"
"20570","PUEBLO BELLO","COL-20570"
"20614","RIO DE ORO","COL-20614"
"20621","LA PAZ","COL-20621"
"20710","SAN ALBERTO","COL-20710"
"20750","SAN DIEGO","COL-20750"
"20770","SAN MARTIN","COL-20770"
"20787","TAMALAMEQUE","COL-20787"
"23001","MONTERIA","COL-23001"
"23068","AYAPEL","COL-23068"
"23079","BUENAVISTA","COL-23079"
"23090","CANALETE","COL-23090"
"23162","CERETE","COL-23162"
"23168","CHIMA","COL-23168"
"23182","CHINU","COL-23182"
"23189","CIENAGA DE ORO","COL-23189"
"23300","COTORRA","COL-23300"
"23350","LA APARTADA","COL-23350"
"23417","LORICA","COL-23417"
"23419","LOS CORDOBAS","COL-23419"
"23464","MOMIL","COL-23464"
"23466","MONTELIBANO","COL-23466"
"23500","MOÑITOS","COL-23500"
"23555","PLANETA RICA","COL-23555"
"23570","PUEBLO NUEVO","COL-23570"
"23574","PUERTO ESCONDIDO","COL-23574"
"23580","PUERTO LIBERTADOR","COL-23580"
"23586","PURISIMA","COL-23586"
"23660","SAHAGUN","COL-23660"
"23670","SAN ANDRES SOTAVENTO","COL-23670"
"23672","SAN ANTERO","COL-23672"
"23675","SAN BERNARDO DEL VIENTO","COL-23675"
"23678","SAN CARLOS","COL-23678"
"23682","SAN JOSE DE URE","COL-23682"
"23686","SAN PELAYO","COL-23686"
"23807","TIERRALTA","COL-23807"
"23815","TUCHIN","COL-23815"
"23855","VALENCIA","COL-23855"
"25001","AGUA DE DIOS","COL-25001"
"25019","ALBAN","COL-25019"
"25035","ANAPOIMA","COL-25035"
"25040","ANOLAIMA","COL-25040"
"25053","ARBELAEZ","COL-25053"
"25086","BELTRAN","COL-25086"
"25095","BITUIMA","COL-25095"
"25099","BOJACA","COL-25099"
"25120","CABRERA","COL-25120"
"25123","CACHIPAY","COL-25123"
"25126","CAJICA","COL-25126"
"25148","CAPARRAPI","COL-25148"
"25151","CAQUEZA","COL-25151"
"25154","CARMEN DE CARUPA","COL-25154"
"25168","CHAGUANI","COL-25168"
"25175","CHIA","COL-25175"
"25178","CHIPAQUE","COL-25178"
"25181","CHOACHI","COL-25181"
"25183","CHOCONTA","COL-25183"
"25200","COGUA","COL-25200"
"25214","COTA","COL-25214"
"25224","CUCUNUBA","COL-25224"
"25245","EL COLEGIO","COL-25245"
"25258","EL PEÑON","COL-25258"
"25260","EL ROSAL","COL-25260"
"25269","FACATATIVA","COL-25269"
"25279","FOMEQUE","COL-25279"
"25281","FOSCA","COL-25281"
"25286","FUNZA","COL-25286"
"25288","FUQUENE","COL-25288"
"25290","FUSAGASUGA","COL-25290"
"25293","GACHALA","COL-25293"
"25295","GACHANCIPA","COL-25295"
"25297","GACHETA","COL-25297"
"25299","GAMA","COL-25299"
"25307","GIRARDOT","COL-25307"
"25312","GRANADA","COL-25312"
"25317","GUACHETA","COL-25317"
"25320","GUADUAS","COL-25320"
"25322","GUASCA","COL-25322"
"25324","GUATAQUI","COL-25324"
"25326","GUATAVITA","COL-25326"
"25328","GUAYABAL DE SIQUIMA","COL-25328"
"25335","GUAYABETAL","COL-25335"
"25339","GUTIERREZ","COL-25339"
"25368","JERUSALEN","COL-25368"
"25372","JUNIN","COL-25372"
"25377","LA CALERA","COL-25377"
"25386","LA MESA","COL-25386"
"25394","LA PALMA","COL-25394"
"25398","LA PEÑA","COL-25398"
"25402","LA VEGA","COL-25402"
"25407","LENGUAZAQUE","COL-25407"
