"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05234016","EL ENCIERRO","COL-"
"05237000","DONMATÍAS","COL-"
"05237001","BELLAVISTA","COL-"
"05237002","RIOGRANDE","COL-"
"05240000","EBÉJICO","COL-"
"05240001","BRASIL","COL-"
"05240003","SEVILLA","COL-"
"05250000","EL BAGRE","COL-"
"05250002","PUERTO CLAVER","COL-"
"05250004","PUERTO LÓPEZ","COL-"
"05250005","EL REAL","COL-"
"05250006","LA CORONA","COL-"
"05250007","LAS NEGRITAS","COL-"
"05250009","SANTA BÁRBARA","COL-"
"05250010","MUQUI","COL-"
"05264000","ENTRERRÍOS","COL-"
"05266000","ENVIGADO","COL-"
"05266001","LAS PALMAS","COL-"
"05282000","FREDONIA","COL-"
"05282002","LOS PALOMOS","COL-"
"05282003","MINAS","COL-"
"05282004","PUENTE IGLESIAS","COL-"
"05282005","MARSELLA","COL-"
"05282006","COMBIA GRANDE","COL-"
"05282007","ZABALETAS","COL-"
"05282008","EL ZANCUDO","COL-"
"05282009","LA LOMA DEL PLAN","COL-"
"05282010","EL PLAN","COL-"
"05282012","UVITAL","COL-"
"05282014","PIEDRA VERDE","COL-"
"05284000","FRONTINO","COL-"
"05284001","CARAUTA","COL-"
"05284002","EL CERRO","COL-"
"05284003","CHONTADURO","COL-"
"05284004","MURRÍ","COL-"
"05284005","MUSINGA","COL-"
"05284006","NUTIBARA","COL-"
"05284007","PONTON","COL-"
"05284008","FUEMOA","COL-"
"05284010","SAN LAZARO","COL-"
"05284011","NOBOGA","COL-"
"05284012","JENGAMECODA","COL-"
"05284013","EL MADERO","COL-"
"05284014","PANTANOS","COL-"
"05284015","LA CLARITA - LAS MINAS","COL-"
"05306000","GIRALDO","COL-"
"05306001","MANGLAR","COL-"
"05306002","PINGURO","COL-"
"05306005","SIERRITA","COL-"
"05308000","GIRARDOTA","COL-"
"05308009","CABILDO","COL-"
"05308010","LAS CUCHICHAS","COL-"
"05308011","JAMUNDO","COL-"
"05308013","LA CALLE","COL-"
"05308014","SAN ESTEBAN","COL-"
"05310000","GÓMEZ PLATA","COL-"
"05310001","EL SALTO","COL-"
"05310002","SAN MATÍAS","COL-"
"05310003","LA ESTRELLA","COL-"
"05310004","VEGA DE BOTERO","COL-"
"05310005","CAÑAVERAL","COL-"
"05310006","EL BRASIL","COL-"
"05310007","EL CERRO","COL-"
"05313000","GRANADA","COL-"
"05313001","SANTA ANA","COL-"
"05313004","LOS MEDIOS","COL-"
"05315000","GUADALUPE","COL-"
"05315008","BARRIO NUEVO","COL-"
"05315009","EL MACHETE","COL-"
"05315010","LA BRAMADORA","COL-"
"05315011","PUENTE ACACIAS","COL-"
"05318000","GUARNE","COL-"
"05321000","GUATAPÉ","COL-"
"05347000","HELICONIA","COL-"
"05347001","ALTO DEL CORRAL","COL-"
"05347002","PUEBLITO","COL-"
"05347003","LLANOS DE SAN JOSE","COL-"
"05347006","LA CHORRERA","COL-"
"05347007","EL HATILLO","COL-"
"05347008","LA PAVA","COL-"
"05353000","HISPANIA","COL-"
"05360000","ITAGUÍ","COL-"
"05360001","LOS GÓMEZ","COL-"
"05360003","EL AJIZAL","COL-"
"05360005","LA LOMA DE LOS ZULETA","COL-"
"05360006","EL PEDREGAL","COL-"
"05360012","EL PORVENIR","COL-"
"05360013","EL PROGRESO","COL-"
"05360014","LA MARÍA","COL-"
"05360015","LOS OLIVARES","COL-"
"05361000","ITUANGO","COL-"
"05361001","BADILLO","COL-"
"05361002","EL ARO - BUILOPOLIS","COL-"
"05361003","LA GRANJA","COL-"
"05361004","PASCUITA","COL-"
"05361005","SANTA ANA","COL-"
"05361006","SANTA LUCÍA","COL-"
"05361007","SANTA RITA","COL-"
"05361018","POO X LA FONDITA","COL-"
"05364000","JARDÍN","COL-"
"05364001","CRISTIANOA","COL-"
"05364004","LA CASCADA","COL-"
"05364005","LA CASIANA","COL-"
"05368000","JERICÓ","COL-"
"05368003","LA CASCADA","COL-"
"05368005","GUACAMAYAL","COL-"
"05368008","EL SACATON","COL-"
"05368009","LA FE","COL-"
"05376000","LA CEJA","COL-"
"05376003","SAN JOSÉ","COL-"
"05376005","VUELTECITAS","COL-"
"05376006","SAN JUDAS","COL-"
"05376007","SANTO DOMINGO SABIO","COL-"
"05376008","TOLEDO","COL-"
"05380000","LA ESTRELLA","COL-"
"05380005","CALLE VIEJA","COL-"
"05380007","LA TABLACITA","COL-"
"05380008","SAGRADA FAMILIA","COL-"
"05380009","SAN JOSÉ - MELEGUINDO","COL-"
"05380010","LA RAYA","COL-"
"05380011","SAN ISIDRO","COL-"
"05380012","TARAPACÁ","COL-"
"05380013","SAN MIGUEL","COL-"
"05380019","LA BERMEJALA","COL-"
"05380020","PAN DE AZUCAR","COL-"
"05380021","PEÑAS BLANCAS","COL-"
"05380022","LA VIRGEN PARTE ALTA","COL-"
"05390000","LA PINTADA","COL-"
"05400000","LA UNIÓN","COL-"
"05400001","MESOPOTAMIA","COL-"
"05400003","CHUSCALITO","COL-"
"05400004","LA CONCHA","COL-"
"05400005","MAROA AUXILIADORA","COL-"
"05411000","LIBORINA","COL-"
"05411001","EL CARMEN - LA VENTA","COL-"
"05411002","LA HONDA","COL-"
"05411003","LA MERCED (PLAYÓN)","COL-"
"05411004","SAN DIEGO (PLACITA)","COL-"
"05411005","CURITO","COL-"
"05411006","EL POTRERO","COL-"
"05411007","SAN CRISTOBAL","COL-"
"05411008","BELEN","COL-"
"05411009","SOBRESABANA","COL-"
"05411010","EL GUAMAL","COL-"
"05411011","LOS PEÑOLES","COL-"
"05425000","MACEO","COL-"
"05425001","LA SUSANA","COL-"
"05425003","LA FLORESTA","COL-"
"05425005","SAN JOSÉ DEL NUS (SAN JOSÉ DE NUESTRA SEÑORA)","COL-"
"05440000","MARINILLA","COL-"
"05467000","MONTEBELLO","COL-"
"05467001","SABALETAS","COL-"
"05467002","EL TABLAZO","COL-"
"05467003","LOMA DEL VENADO","COL-"
"05467004","EL CARMELO","COL-"
"05467005","GETSEMANÍ","COL-"
"05467006","LA GRANJA","COL-"
"05467007","LA PEÑA","COL-"
"05467008","PIEDRA GALANA","COL-"
"05467009","ZARCITOS","COL-"
"05475000","MURINDÓ","COL-"
"05475001","OPOGADO","COL-"
"05475003","SAN ALEJANDRO","COL-"
"05475004","GUADUALITO","COL-"
"05475005","JEDEGA","COL-"
"05475006","TADÍA","COL-"
"05480000","MUTATÁ","COL-"
"05480001","BEJUQUILLO","COL-"
"05480002","PAVARANDOCITO","COL-"
"05480003","VILLA ARTEAGA","COL-"
"05480004","PAVARANDO GRANDE","COL-"
"05480005","BAJIRA","COL-"
"05480006","CAUCHERAS","COL-"
"05483000","NARIÑO","COL-"
"05483001","PUERTO VENUS (SAMANÁ)","COL-"
"05483012","EL FARO","COL-"
