"Código.Departamento","Código.Municipio","Código.Centro.Poblado","Nombre.Departamento","Nombre.Municipio","Nombre.Centro.Poblado","Tipo.Centro.Poblado","Tipo.de.Municipio","X.","Distrito","Area.Metropolitana"
"05","05030","05030001","ANTIOQUIA","AMAGA","CAMILO C","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05030","05030002","ANTIOQUIA","AMAGA","EL CEDRO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05030","05030003","ANTIOQUIA","AMAGA","LA CLARITA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05030","05030011","ANTIOQUIA","AMAGA","MINAS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05031","05031000","ANTIOQUIA","AMALFI","AMALFI","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05031","05031004","ANTIOQUIA","AMALFI","PORTACHUELO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05031","05031005","ANTIOQUIA","AMALFI","ARENAS BLANCAS","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05031","05031006","ANTIOQUIA","AMALFI","EL ZACATIN","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05031","05031007","ANTIOQUIA","AMALFI","LA GUAYANA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05034","05034000","ANTIOQUIA","ANDES","ANDES","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05034","05034001","ANTIOQUIA","ANDES","BUENOS AIRES","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05034","05034003","ANTIOQUIA","ANDES","SAN JOSÉ","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05034","05034006","ANTIOQUIA","ANDES","SANTA RITA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05034","05034007","ANTIOQUIA","ANDES","TAPARTÓ","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
